               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.061077,             0.02552,            0.010979,             0.50096,             0.45321,             0.43812,              0.2275,            0.066727,            0.016059,            0.028031,            0.002872,            0.002872,            0.002872
                  38,            0.059983,            0.025588,            0.011199,             0.48357,             0.45669,             0.42745,             0.22354,            0.066879,            0.016165,             0.02646,            0.002674,            0.002674,            0.002674
                  39,            0.058773,            0.024738,            0.010386,              0.5001,             0.45634,             0.44143,             0.23401,            0.066561,            0.016178,            0.027636,            0.002476,            0.002476,            0.002476
                  40,            0.058688,            0.025334,           0.0097681,              0.4805,             0.45499,             0.43439,             0.23173,            0.066994,             0.01639,            0.029326,            0.002278,            0.002278,            0.002278
                  41,            0.057594,            0.024581,            0.010506,             0.46585,             0.44224,             0.42028,             0.22681,            0.065967,            0.016056,            0.027424,             0.00208,             0.00208,             0.00208
                  42,            0.058529,            0.024524,            0.010204,             0.44916,             0.47043,             0.43121,             0.23771,            0.065447,            0.016102,             0.03103,            0.001882,            0.001882,            0.001882
                  43,            0.058419,            0.025565,            0.010416,             0.51419,             0.47607,             0.45581,             0.25127,            0.065712,            0.016116,            0.025713,            0.001684,            0.001684,            0.001684
                  44,            0.058342,            0.024962,           0.0096454,              0.5107,             0.44772,             0.44334,             0.23664,            0.066523,            0.016091,            0.026572,            0.001486,            0.001486,            0.001486
                  45,            0.057106,            0.024514,           0.0092142,             0.55187,              0.4411,             0.46101,             0.25195,            0.065223,            0.016026,            0.026458,            0.001288,            0.001288,            0.001288
                  46,            0.057317,            0.025236,           0.0097172,             0.50676,             0.46749,             0.46837,             0.25223,            0.065582,            0.015912,             0.02679,             0.00109,             0.00109,             0.00109
                  47,             0.05712,            0.025558,           0.0082824,             0.51698,             0.47007,             0.45369,             0.24708,            0.065998,            0.016223,            0.026466,            0.000892,            0.000892,            0.000892
                  48,            0.056378,            0.024926,            0.009067,             0.49832,             0.50061,             0.47226,             0.25142,            0.065281,            0.015988,            0.026932,            0.000694,            0.000694,            0.000694
                  49,             0.05658,            0.024772,           0.0077116,             0.52781,             0.48259,              0.4722,             0.25353,            0.065532,            0.015927,            0.026264,            0.000496,            0.000496,            0.000496
